sku,name,price,short_description
BGM0424,"Silver Patterns Birthday Card",4.0000,"<p>Surprise your employees, clients or associates with this stunning birthday card. Beautiful silver patterns are elegantly embossed on each balloon above ""happy birthday"" in coordinating silver foil.<br />Message: Wishing you all the best on this wonderful day and throughout the year ahead.</p>"
BGM0622,"Birthday Flair Birthday Card",4.0000,"<p>Send a birthday card that celebrates their big day with a flash of bright colors, sparkly gold foil accents and a bold greeting with flair.<br />Message: Best wishes for a wonderful day!</p>"
BGM0621,"Star Power Birthday Card",4.0000,"<p>Help recipients power up for their big day with this brown birthday card featuring colorful stars floating above ""happy birthday"" in gold lettering<br />Message: May your wishes come true and your day be full of happiness.</p>"
BGM0634,"Celebrate and Party! Birthday Card",4.0000,"<p>Send your best wishes for a birthday party that will be a grand celebration with this festive, brightly colored birthday card. Silver foil adds a sparkling glint of shine.<br />Message: Best wishes for a wonderful birthday!</p>"
BGM0627,"Shine Through Thank You Card",4.0000,"<p>Metallic silver foil and bright, bold colors on help your many thanks shine through to recipients with this contemporary thank you card on glossy paper.<br />Message: Just extending our sincere appreciation!</p>"
BGM0626,"With Appreciation Thank You Card",4.0000,"<p>Bright design elements against a dark background give this thank you card incredible dimension. Impress recipients with your willingness to share your appreciation and your unique choice of greeting card.<br />Message: Just extending our sincere appreciation!</p>"
BGXA4150,"Scripted Thank You Card",4.0000,"<p>Show your appreciation with this sophisticated ivory greeting card featuring a gold embossed plate with ""Thank You"" in scripted lettering and a flourish design in the background.<br />Message: Thanks for a job well done!</p>"
BGM0165,"Gilded Detail Thank you Card",4.0000,"<p>Express your appreciation in words and style. ""Thank you"" embossed in gold foil coordinates beautifully with the ornate pattern featured below it on this thank you card.<br />Message: We appreciate the opportunity to be able to serve you.</p>"
BBC23596,"Marbled Thank You Card",4.0000,"<p>A marbled background lends truly professional appeal to this thank you card featuring a lovely color combination of rich green and smooth ecru.<br />Message: Thanks for a job well done!</p>"
BBC23599,"Floral Silhouette Thank You Card",4.0000,"<p>Send your thanks with this pretty floral thank you card featuring vivid purples, pinks and greens.<br />Message: Just extending our sincere appreciation!</p>"
BBC23597,"Sentiments Echoed Thank You Card",4.0000,"<p>""Thank You"" appears boldly in white on this teal thank you card. The message is reverberated through shadows and silhouettes in the background, allowing you to send multiple thank yous in just one card.<br />Message: Your efforts have been greatly appreciated!</p>"
BG445,"For Everything Thank You Card",4.0000,"<p>Express your gratitude with this ""Thank You"" card featuring bright gold foil over a royal blue bar on a field of earth-tone vertical stripes.<br />Message: Just extending our sincere appreciation!</p>"
BBC23598,"All About You Thank You Card",4.0000,"<p>The ""You"" in ""Thank You"" is highlighted in a brilliant shade of green, reminding the recipient that he/she is one of a kind and deserves appreciation.<br />Message: Many thanks for your friendship and goodwill. We sincerely appreciate your business!</p>"
M0634,"Celebrate and Party! Birthday Card",4.0000,"<p>Send your best wishes for a birthday party that will be a grand celebration with this festive, brightly colored birthday card. Silver foil adds a sparkling glint of shine.<br />Message: Best wishes for a wonderful birthday!</p>"
BG445ty,"For Everything Thank You Card",4.0000,"<p>Express your gratitude with this ""Thank You"" card featuring bright gold foil over a royal blue bar on a field of earth-tone vertical stripes.<br />Message: Just extending our sincere appreciation!</p>"
BG475,"Thank You For Making It Happen",5.0000,"<p>What a wonderful why to say  ""Thank You""  with this striking picture of a lush forest separated into two by a powerful waterfall.<br />Message: Your efforts have been greatly appreciated!</p>"
M0164,"Thank You ",5.0000,"<p>Say ""Thank You"" with this classy lilac, plum, olive, and silver foil pinstriped card.  Thank you is printed in purple script within a white box.<br />Message: Thanks For A Job Well Done!</p>"
BurgTY,"Burgundy Thank You",5.0000,"<p>Show your appreciation with this sophisticated Burgundy Thank You card. Featuring a burgundy background with a subdued daisy pattern down the middle. Framed on both sides by two lines of gold foil.<br />Message:We Apperciate The Opportunity To Be Able To Serve You</p>"
SilvBlue,"Thank You In Blue Foil",5.0000,"<p>Say ""Thanks"" With this elengant foil stamped card. Esse Pearlized Silver stock both inside and out. <br />Message:Thanks For A Job Well Done!</p>"
M0444,"Inspirational Thank You",5.0000,"<p>Show your apprecaition with this busy ""Inspirational Thank You"" card. The different fonts and colors convey a sincere and heartfelt thanks!  <br />Message:Thanks For A Job Well Done!</p>"
M0446,Thanks,4.0000,"<p>Show your thanks with this elegant card. Shades of rich brown make up the background of this card that is adorned with an attractive embossed gold swirl design and matching script font that expresses your “Thank You”.<br />Message:We Appreciate The Opportunity To Be Able To Serve You</p>"
Gold,"Textured Gold Thank You",5.0000,"<p>This professional business thank you card is an ideal way of showing your appreciation. The textured gold background is framed in a rich navy blue while an embossed navy blue banner.<br />Message:I appreciate the opportunity to serve you. Please call me whenever I can be of further assistance.</p>"
23579FC-B,"Faint Flourish Appreciation-Blank",5.0000,"<p>This beautiful thank you card with elegant flourish design is a wonderful way to share your appreciation with those who make your business possible.<br />Message:Thanks for a job well done</p>"
TEST,"Test Product",100.0000,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
"Merry Christmas and a Happy New Year","Merry Christmas and a Happy New Year",4.0000,
"Happy Holiday","Happy Holidays",4.0000,"<p><em><strong>Beautiful&nbsp;black with faint snow flacks</strong></em></p>"
Greeting,"Greeting of the Seasons",4.0000,"<p><em><strong>Classy Dark Navy Blue with swirl script</strong></em></p>"
"Merry xmas","Merry Christmas and a Happy New Year",4.0000,"<p><em><strong>Elegant Blue card with beautiful script</strong></em></p>"
"Classy Season's"," Classy Season's Greetings",4.0000,"<p><em><strong>Very elegant card. What better way to wish a happy new year</strong></em></p>"
DP1393,"Happy Valentines Day",4.9500,"<p>&nbsp;Happy is in red, Valentine's in pink, and Day is in red again. Blank inside to add your own personal message.&nbsp;</p>"
DP1403,"Blue Heart Valentine ",4.9500,"<p><span>Happy Valentine's Day is printed in white inside a big white heart on this dark blue valentine. Blank inside to add your own personal&nbsp;message.</span></p>"
